,accenumb,taxon,genus,species,spauthor,subtaxa,subtauthor,cropname,avail,instcode,acckey,collnumb,collcode,taxno,accename,acqdate,origcty,collsite,latitude,longitude,elevation,colldate,bredcode,sampstat,ancest,collsrc,donorcode,donornumb,othernumb,duplsite,storage,latdec,longdec,remarks,history,released,Seq,Inbred.Line,Accesion.N,Breeding.program,Pop.structure,Year.Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,X,X.1,X.2,X.3,Ped_line
230,Ames 23449,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535328,,NA,311987,A548,19961125,,,,,NA,,NA,400,[(A375 X Pioneer Long Ear) A375],40,NA,,:A548;USA126:Ames 23449;:1996:92,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,831,A548,Ames23449,Minnesota,unclassified,0,A357,A547_1,0,0,Inbred,0,,NA,NA,NA,
264,Ames 23487,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535415,,NA,311987,A655,19961125,,,,,NA,,NA,400,[(A488 X Wf9) S1 Wf9],40,NA,,:A655;USA126:Ames 23487;:1996:149,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,923,A655,Ames23487,Minnesota,unclassified,0,A655_1,WF9,0,0,0,0,,NA,NA,NA,IllinoisSynthetic
268,Ames 23492,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535420,,NA,311987,A668,19961125,,,,,NA,,NA,400,[(A509 X C103) C103(2)],40,NA,,:A668;USA126:Ames 23492;:1984:14;:1996:163,,10,NA,NA,Plants have long ear shanks.,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,947,A668,Ames23492,Minnesota,unclassified,0,A668_2,C103,0,0,0,0,,NA,NA,NA,LH38 
245,Ames 23467,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535377,,NA,311987,A631,19961125,,,,,NA,,NA,400,[(A509 X Wf9) Wf9(3)],40,NA,,:A631;USA126:Ames 23467;:1996:115,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,880,A631,Ames23467,Minnesota,unclassified,0,Wf9,A631_3,0,0,INBRED,0,,NA,NA,NA,
270,Ames 23494,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535422,,NA,311987,A670,19961125,,,,,NA,,NA,400,[(A632 X A619) A619(4)],40,NA,,:A670;USA126:Ames 23494;:1980:462,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,956,A670,Ames23494,Minnesota,stiff stalk,0,A670_4,A619,0,0,0,0,,NA,NA,NA,
278,Ames 23502,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535457,,NA,311987,A678,19961125,,,,,NA,,NA,400,[(A662 X B52) B52],40,NA,,:A678;USA126:Ames 23502;:1986:9070,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,972,A678,Ames23502,Minnesota,unclassified,0,A678_1,B52,0,0,0,0,,NA,NA,NA,
279,Ames 23503,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535466,,NA,311987,A680,19961125,,,,,NA,,NA,400,[(A662 X B73) B73(3)],40,NA,,:A680;USA126:Ames 23503;:1989:5687;:490-1/99,USA005,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,977,A680,Ames23503,Minnesota,stiff stalk,0,A679_3,B73,0,0,BC3 selfed,0,,NA,NA,NA,LH47_1
280,Ames 23504,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535471,,NA,311987,A681,19961125,,,,,NA,,NA,400,[(A662 X B73) B73(3)],40,NA,,:A681;USA126:Ames 23504;:1990:2450,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,978,A681,Ames23504,Minnesota,stiff stalk,0,A679_3,B73,0,0,BC3 selfed,0,,NA,NA,NA,LH47 
261,Ames 23484,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535412,,NA,311987,A651,19961125,,,,,NA,,NA,400,[(A73 X Q573) S1 sib A73],40,NA,,:A651;USA126:Ames 23484;:1996:145,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,918,A651,Ames23484,Minnesota,unclassified,0,A651_1, A73,0,0,0,0,,NA,NA,NA,LH202_2
281,Ames 23505,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535476,,NA,311987,A683,19961125,,,,,NA,,NA,400,[(AS-D X Mo17) Mo17(2)],40,NA,,:A683;USA126:Ames 23505;:1990:2436,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,982,A683,Ames23505,Minnesota,unclassified,0,A682_2,Mo17,0,0,BC2 selfed,0,,NA,NA,NA,LH55
