"","Year.Rel","released","Accession","Inbred.Line","Inbred.name","GBS.name..Sample.Flowcell.Lane.Well.","P1A","P2A","ancest","history","Pop.structure","remarks"
"38",NA,NA,"A641",NA,"A641","A641:627C3AAXX:6:G6",NA,NA,NA,NA,NA,NA
"39",NA,NA,"A641",NA,"A641","A641:8042MABXX:3:G6",NA,NA,NA,NA,NA,NA
"40",NA,NA,"A654",NA,"A654","A654:627C3AAXX:5:A12",NA,NA,NA,NA,NA,NA
"41",NA,NA,"A654",NA,"A654","A654:8042MABXX:2:A12",NA,NA,NA,NA,NA,NA
"42",NA,NA,"A659",NA,"A659","A659:627C3AAXX:5:D11",NA,NA,NA,NA,NA,NA
"43",NA,NA,"A659",NA,"A659","A659:8042MABXX:2:D11",NA,NA,NA,NA,NA,NA
"44",NA,NA,"A661",NA,"A661","A661:627C3AAXX:7:G3",NA,NA,NA,NA,NA,NA
"45",NA,NA,"A661",NA,"A661","A661:8042MABXX:4:G3",NA,NA,NA,NA,NA,NA
"46",NA,NA,"A679",NA,"A679","A679:627C3AAXX:6:B1",NA,NA,NA,NA,NA,NA
"47",NA,NA,"A679",NA,"A679","A679:8042MABXX:3:B1",NA,NA,NA,NA,NA,NA
"48",NA,NA,"A680",NA,"A680","A680:627C3AAXX:5:C2",NA,NA,NA,NA,NA,NA
"49",NA,NA,"A680",NA,"A680","A680:8042MABXX:2:C2",NA,NA,NA,NA,NA,NA
"50",NA,NA,"A682",NA,"A682","A682:627C3AAXX:5:E5",NA,NA,NA,NA,NA,NA
"51",NA,NA,"A682",NA,"A682","A682:8042MABXX:2:E5",NA,NA,NA,NA,NA,NA
"52",NA,NA,"AH83",NA,"AH83","AH83:81FE8ABXX:4:G8",NA,NA,NA,NA,NA,NA
"53",0,NA,"Ab18","Ab18","Ab18","Ab18:81FENABXX:5:C2","NC7","F6",NA,NA,"unclassified",NA
"54",NA,NA,"Ab24E",NA,"Ab24E","Ab24E:81FENABXX:4:A8",NA,NA,NA,NA,NA,NA
"55",0,NA,"Ab26A","AB26A","Ab26A","Ab26A:81FE7ABXX:2:G1","GT175","F6",NA,NA,"unclassified",NA
"56",NA,NA,"Ab28A",NA,"Ab28A","Ab28A:627C3AAXX:7:A5",NA,NA,NA,NA,NA,NA
"57",NA,NA,"Ab28A",NA,"Ab28A","Ab28A:8042MABXX:4:A5",NA,NA,NA,NA,NA,NA
"58",0,NA,"Ab608A","Ab608A","Ab608A","Ab608A:81FENABXX:4:B12","NC82 ","CI21",NA,NA,"unclassified",NA
"59",NA,NA,"Ab610",NA,"Ab610","Ab610:81FENABXX:6:D1",NA,NA,NA,NA,NA,NA
"60",NA,NA,"Ab616",NA,"Ab616","Ab616:81FENABXX:4:E11",NA,NA,NA,NA,NA,NA
"61",NA,NA,"Ames 10244",NA,"Ab26","Ames10244:81FE8ABXX:7:H5",NA,NA,NA,NA,NA,NA
"62",NA,NA,"Ames 10246",NA,"Ab608A","Ames10246:D0D0BACXX:3:D11",NA,NA,NA,NA,NA,NA
"63",NA,NA,"Ames 10247",NA,"GA152","Ames10247:81N4HABXX:3:C4",NA,NA,NA,NA,NA,NA
"64",NA,NA,"Ames 10248",NA,"GA209","Ames10248:81FE7ABXX:7:E5",NA,NA,NA,NA,NA,NA
"65",NA,NA,"Ames 10249",NA,"GA212","Ames10249:81N4HABXX:3:A11",NA,NA,NA,NA,NA,NA
"66",NA,NA,"Ames 10250",NA,"GA215","Ames10250:81N4HABXX:2:D8",NA,NA,NA,NA,NA,NA
"67",NA,NA,"Ames 10251",NA,"GA219","Ames10251:81N4HABXX:2:D5",NA,NA,NA,NA,NA,NA
"68",NA,NA,"Ames 10252",NA,"GA222","Ames10252:81N4HABXX:3:H10",NA,NA,NA,NA,NA,NA
"69",NA,NA,"Ames 10253",NA,"GE19","Ames10253:81FE7ABXX:7:D2",NA,NA,NA,NA,NA,NA
"70",NA,NA,"Ames 10254",NA,"GE54","Ames10254:81N4HABXX:3:E9",NA,NA,NA,NA,NA,NA
"71",NA,NA,"Ames 10255",NA,"GE72","Ames10255:81N4HABXX:4:A3",NA,NA,NA,NA,NA,NA
"72",NA,NA,"Ames 10256",NA,"GE129","Ames10256:81N4HABXX:2:G10",NA,NA,NA,NA,NA,NA
"73",NA,NA,"Ames 10256",NA,"GE129","Ames10256:D0D0BACXX:4:A5",NA,NA,NA,NA,NA,NA
"74",NA,NA,"Ames 10257",NA,"GE281","Ames10257:81N4HABXX:3:D2",NA,NA,NA,NA,NA,NA
"75",NA,NA,"Ames 10258",NA,"GE293","Ames10258:81N4HABXX:3:C2",NA,NA,NA,NA,NA,NA
"76",NA,NA,"Ames 10259",NA,"GE311","Ames10259:81N4HABXX:3:F12",NA,NA,NA,NA,NA,NA
"77",NA,NA,"Ames 10260",NA,"GE317","Ames10260:81FE7ABXX:2:H4",NA,NA,NA,NA,NA,NA
"78",NA,NA,"Ames 10261",NA,"GE335","Ames10261:81N4HABXX:2:H9",NA,NA,NA,NA,NA,NA
"79",NA,NA,"Ames 10262",NA,"GT150","Ames10262:81N4HABXX:2:C8",NA,NA,NA,NA,NA,NA
"80",NA,NA,"Ames 10263",NA,"L 90","Ames10263:81FE7ABXX:1:A9",NA,NA,NA,NA,NA,NA
"81",NA,NA,"Ames 10264",NA,"L 605","Ames10264:81FE7ABXX:3:C6",NA,NA,NA,NA,NA,NA
"82",NA,NA,"Ames 10265",NA,"L 678","Ames10265:81FENABXX:5:G6",NA,NA,NA,NA,NA,NA
"83",NA,NA,"Ames 10266",NA,"L 690","Ames10266:D0D0BACXX:4:D3",NA,NA,NA,NA,NA,NA
"84",NA,NA,"Ames 10267",NA,"SC15","Ames10267:81FE7ABXX:6:A9",NA,NA,NA,NA,NA,NA
"85",NA,NA,"Ames 10268",NA,"SC16","Ames10268:D0D0BACXX:4:G6",NA,NA,NA,NA,NA,NA
"86",NA,NA,"Ames 10269",NA,"SC44","Ames10269:81N4HABXX:3:G7",NA,NA,NA,NA,NA,NA
"87",NA,NA,"Ames 10271",NA,"SC84E","Ames10271:81FE7ABXX:6:H9",NA,NA,NA,NA,NA,NA
"88",NA,NA,"Ames 10272",NA,"SC90","Ames10272:81N4HABXX:3:F10",NA,NA,NA,NA,NA,NA
"89",NA,NA,"Ames 10273",NA,"SC102","Ames10273:81FE7ABXX:7:C11",NA,NA,NA,NA,NA,NA
"90",NA,NA,"Ames 10274",NA,"SC144","Ames10274:81N4HABXX:3:E3",NA,NA,NA,NA,NA,NA
"91",NA,NA,"Ames 10274",NA,"SC144","Ames10274:D0D0BACXX:4:H6",NA,NA,NA,NA,NA,NA
"92",NA,NA,"Ames 10276",NA,"SC225","Ames10276:81N4HABXX:3:D3",NA,NA,NA,NA,NA,NA
"93",NA,NA,"Ames 10277",NA,"SC235","Ames10277:81N4HABXX:2:G9",NA,NA,NA,NA,NA,NA
"94",NA,NA,"Ames 10287",NA,"ABPl 3","Ames10287:81FE8ABXX:6:F2",NA,NA,NA,NA,NA,NA
"95",NA,NA,"Ames 12725",NA,"NC7","Ames12725:81FENABXX:4:A10",NA,NA,NA,NA,NA,NA
"96",NA,NA,"Ames 12726",NA,"NC13","Ames12726:81N4HABXX:1:E9",NA,NA,NA,NA,NA,NA
"97",NA,NA,"Ames 12727",NA,"NC83","Ames12727:81FENABXX:5:E6",NA,NA,NA,NA,NA,NA
"98",NA,NA,"Ames 12728",NA,"NC220","Ames12728:81N4HABXX:1:A5",NA,NA,NA,NA,NA,NA
"99",NA,NA,"Ames 12729",NA,"NC222","Ames12729:81N4HABXX:2:H12",NA,NA,NA,NA,NA,NA
"100",NA,NA,"Ames 12729",NA,"NC222","Ames12729:81N4HABXX:3:B4",NA,NA,NA,NA,NA,NA
"101",NA,NA,"Ames 12730",NA,"NC224","Ames12730:81N4HABXX:2:C4",NA,NA,NA,NA,NA,NA
"102",NA,NA,"Ames 12731",NA,"NC230","Ames12731:81FE8ABXX:7:A5",NA,NA,NA,NA,NA,NA
"103",NA,NA,"Ames 12732",NA,"NC232","Ames12732:81N4HABXX:1:B1",NA,NA,NA,NA,NA,NA
"104",NA,NA,"Ames 12732",NA,"NC232","Ames12732:81N4HABXX:1:C4",NA,NA,NA,NA,NA,NA
"105",NA,NA,"Ames 12733",NA,"NC234","Ames12733:81FE8ABXX:7:B8",NA,NA,NA,NA,NA,NA
"106",NA,NA,"Ames 12734",NA,"NC236","Ames12734:81FE8ABXX:7:C4",NA,NA,NA,NA,NA,NA
"107",NA,NA,"Ames 12734",NA,"NC236","Ames12734:81FE8ABXX:7:H6",NA,NA,NA,NA,NA,NA
"108",NA,NA,"Ames 12735",NA,"NC238","Ames12735:81N4HABXX:3:G6",NA,NA,NA,NA,NA,NA
"109",NA,NA,"Ames 12736",NA,"NC240A","Ames12736:81FE8ABXX:1:G8",NA,NA,NA,NA,NA,NA
"110",NA,NA,"Ames 12737",NA,"NC242","Ames12737:81FE8ABXX:7:B2",NA,NA,NA,NA,NA,NA
"111",NA,NA,"Ames 12738",NA,"NC244","Ames12738:81N4HABXX:1:A4",NA,NA,NA,NA,NA,NA
"112",NA,NA,"Ames 12739",NA,"NC246","Ames12739:81N4HABXX:2:F1",NA,NA,NA,NA,NA,NA
"113",NA,NA,"Ames 12740",NA,"NC248","Ames12740:81N4HABXX:2:D1",NA,NA,NA,NA,NA,NA
"114",NA,NA,"Ames 12814",NA,"89S4083","Ames12814:81FE8ABXX:1:C4",NA,NA,NA,NA,NA,NA
"115",NA,NA,"Ames 12815",NA,"89S4098","Ames12815:81FE8ABXX:1:C9",NA,NA,NA,NA,NA,NA
"116",NA,NA,"Ames 12816",NA,"89S4107","Ames12816:D0D0BACXX:3:H9",NA,NA,NA,NA,NA,NA
"117",NA,NA,"Ames 12817",NA,"89S4110","Ames12817:81FE8ABXX:1:D5",NA,NA,NA,NA,NA,NA
"118",NA,NA,"Ames 12817",NA,"89S4110","Ames12817:D0D0BACXX:3:D8",NA,NA,NA,NA,NA,NA
"119",NA,NA,"Ames 12818",NA,"89S4117","Ames12818:81N4HABXX:6:H9",NA,NA,NA,NA,NA,NA
"120",NA,NA,"Ames 12818",NA,"89S4117","Ames12818:D0D0BACXX:3:C4",NA,NA,NA,NA,NA,NA
"121",NA,NA,"Ames 12819",NA,"89S4125","Ames12819:81FE8ABXX:1:A2",NA,NA,NA,NA,NA,NA
"122",NA,NA,"Ames 12820",NA,"89S4127","Ames12820:81N4HABXX:6:F1",NA,NA,NA,NA,NA,NA
"123",NA,NA,"Ames 12821",NA,"89S4145","Ames12821:81FE8ABXX:1:F3",NA,NA,NA,NA,NA,NA
"124",NA,NA,"Ames 12822",NA,"89S4154","Ames12822:81N4HABXX:6:G5",NA,NA,NA,NA,NA,NA
"125",NA,NA,"Ames 12823",NA,"89S4157","Ames12823:81N4HABXX:6:D3",NA,NA,NA,NA,NA,NA
"126",NA,NA,"Ames 12824",NA,"89S4190","Ames12824:81FE8ABXX:1:H5",NA,NA,NA,NA,NA,NA
"127",NA,NA,"Ames 14111",NA,"T202","Ames14111:81N4HABXX:2:C2",NA,NA,NA,NA,NA,NA
"128",NA,NA,"Ames 14111",NA,"T202","Ames14111:D0D0BACXX:3:A3",NA,NA,NA,NA,NA,NA
"129",NA,NA,"Ames 14112",NA,"Va3A","Ames14112:81FE7ABXX:4:F3",NA,NA,NA,NA,NA,NA
"130",NA,NA,"Ames 14113",NA,"Va12C","Ames14113:81FE8ABXX:7:G1",NA,NA,NA,NA,NA,NA
"131",NA,NA,"Ames 14113",NA,"Va12C","Ames14113:D0D0BACXX:4:A12",NA,NA,NA,NA,NA,NA
"132",NA,NA,"Ames 14114",NA,"Va14A","Ames14114:81FE8ABXX:7:D3",NA,NA,NA,NA,NA,NA
"133",NA,NA,"Ames 14115",NA,"Va35C","Ames14115:81FENABXX:2:H5",NA,NA,NA,NA,NA,NA
"134",NA,NA,"Ames 14116",NA,"Va36A","Ames14116:81FENABXX:1:C2",NA,NA,NA,NA,NA,NA
"135",NA,NA,"Ames 14211",NA,"EAST 028 WHITE COB","Ames14211:81FE7ABXX:5:C11",NA,NA,NA,NA,NA,NA
"136",NA,NA,"Ames 14408",NA,"KS2","Ames14408:81FE8ABXX:1:H10",NA,NA,NA,NA,NA,NA
"137",NA,NA,"Ames 15929",NA,"H49","Ames15929:81FENABXX:1:G7",NA,NA,NA,NA,NA,NA
"138",NA,NA,"Ames 18999",NA,"Ab28A","Ames18999:81FE8ABXX:7:E5",NA,NA,NA,NA,NA,NA
"139",NA,NA,"Ames 18999",NA,"Ab28A","Ames18999:81N4HABXX:1:B10",NA,NA,NA,NA,NA,NA
"140",NA,NA,"Ames 19000",NA,"VaW6","Ames19000:81FE7ABXX:3:C7",NA,NA,NA,NA,NA,NA
"141",NA,NA,"Ames 19000",NA,"VaW6","Ames19000:81FE7ABXX:4:B2",NA,NA,NA,NA,NA,NA
"142",NA,NA,"Ames 19000",NA,"VaW6","Ames19000:D0D0BACXX:3:G3",NA,NA,NA,NA,NA,NA
"143",NA,NA,"Ames 19000",NA,"VaW6","Ames19000:D0D0BACXX:4:F3",NA,NA,NA,NA,NA,NA
"144",NA,NA,"Ames 19001",NA,"Va16","Ames19001:81FENABXX:3:H12",NA,NA,NA,NA,NA,NA
"145",NA,NA,"Ames 19002",NA,"Va17","Ames19002:81N4HABXX:2:A3",NA,NA,NA,NA,NA,NA
"146",NA,NA,"Ames 19002",NA,"Va17","Ames19002:81N4HABXX:4:G2",NA,NA,NA,NA,NA,NA
"147",NA,NA,"Ames 19003",NA,"Va18A","Ames19003:81N4HABXX:3:A6",NA,NA,NA,NA,NA,NA
"148",NA,NA,"Ames 19004",NA,"Va21A","Ames19004:81N4HABXX:3:D12",NA,NA,NA,NA,NA,NA
"149",NA,NA,"Ames 19005",NA,"Va21C","Ames19005:81FE8ABXX:2:B11",NA,NA,NA,NA,NA,NA
"150",NA,NA,"Ames 19006",NA,"Va22B","Ames19006:81FE7ABXX:4:B7",NA,NA,NA,NA,NA,NA
"151",NA,NA,"Ames 19007",NA,"Va23","Ames19007:81FE7ABXX:3:E6",NA,NA,NA,NA,NA,NA
"152",NA,NA,"Ames 19008",NA,"Va24","Ames19008:81FE7ABXX:3:H10",NA,NA,NA,NA,NA,NA
"153",NA,NA,"Ames 19008",NA,"Va24","Ames19008:D0D0BACXX:3:D3",NA,NA,NA,NA,NA,NA
"154",NA,NA,"Ames 19009",NA,"Va30","Ames19009:81N4HABXX:6:E12",NA,NA,NA,NA,NA,NA
"155",NA,NA,"Ames 19010",NA,"Va37","Ames19010:81FENABXX:7:A3",NA,NA,NA,NA,NA,NA
"156",NA,NA,"Ames 19011",NA,"Va38","Ames19011:81FE7ABXX:4:F10",NA,NA,NA,NA,NA,NA
"157",NA,NA,"Ames 19012",NA,"Va39","Ames19012:81FENABXX:1:B7",NA,NA,NA,NA,NA,NA
"158",NA,NA,"Ames 19013",NA,"Va46","Ames19013:81FENABXX:1:B12",NA,NA,NA,NA,NA,NA
"159",NA,NA,"Ames 19014",NA,"Va52","Ames19014:81N4HABXX:7:E5",NA,NA,NA,NA,NA,NA
"160",NA,NA,"Ames 19015",NA,"Va58","Ames19015:81FE7ABXX:5:F8",NA,NA,NA,NA,NA,NA
"161",NA,NA,"Ames 19016",NA,"Va59","Ames19016:81FE7ABXX:3:F9",NA,NA,NA,NA,NA,NA
"162",NA,NA,"Ames 19016",NA,"Va59","Ames19016:81FE7ABXX:4:B11",NA,NA,NA,NA,NA,NA
"163",NA,NA,"Ames 19016",NA,"Va59","Ames19016:D0D0BACXX:3:C3",NA,NA,NA,NA,NA,NA
"164",NA,NA,"Ames 19017",NA,"Va60","Ames19017:81N4HABXX:7:H9",NA,NA,NA,NA,NA,NA
"165",NA,NA,"Ames 19019",NA,"Va91","Ames19019:81FENABXX:1:E12",NA,NA,NA,NA,NA,NA
"166",NA,NA,"Ames 19282",NA,"B37 T","Ames19282:D0D0BACXX:3:B11",NA,NA,NA,NA,NA,NA
"167",NA,NA,"Ames 19282",NA,"B37 T","Ames19282:D0D0BACXX:3:F11",NA,NA,NA,NA,NA,NA
"168",NA,NA,"Ames 19283",NA,"B37 TRf","Ames19283:81FE7ABXX:2:B1",NA,NA,NA,NA,NA,NA
"169",NA,NA,"Ames 19284",NA,"C103","Ames19284:81FE8ABXX:7:D9",NA,NA,NA,NA,NA,NA
"170",NA,NA,"Ames 19284",NA,"C103","Ames19284:81N4HABXX:1:G6",NA,NA,NA,NA,NA,NA
"171",NA,NA,"Ames 19285",NA,"C103 T","Ames19285:81N4HABXX:1:C8",NA,NA,NA,NA,NA,NA
"172",NA,NA,"Ames 19286",NA,"Mo17T","Ames19286:81FENABXX:2:B1",NA,NA,NA,NA,NA,NA
"173",NA,NA,"Ames 19287",NA,"Mo17TRf","Ames19287:81FE7ABXX:5:E3",NA,NA,NA,NA,NA,NA
"174",NA,NA,"Ames 19288",NA,"Oh43","Ames19288:81FE8ABXX:5:B2",NA,NA,NA,NA,NA,NA
"175",NA,NA,"Ames 19288",NA,"Oh43","Ames19288:D0D0BACXX:3:D9",NA,NA,NA,NA,NA,NA
"176",NA,NA,"Ames 19288",NA,"Oh43","Ames19288:D0D0BACXX:3:G2",NA,NA,NA,NA,NA,NA
"177",NA,NA,"Ames 19289",NA,"Oh43 T","Ames19289:81N4HABXX:6:F3",NA,NA,NA,NA,NA,NA
"178",NA,NA,"Ames 19290",NA,"Oh43 TRf","Ames19290:81N4HABXX:6:G1",NA,NA,NA,NA,NA,NA
"179",NA,NA,"Ames 19292",NA,"W64A T","Ames19292:81FE8ABXX:5:A3",NA,NA,NA,NA,NA,NA
"180",NA,NA,"Ames 19293",NA,"Wf9","Ames19293:81FE7ABXX:5:A9",NA,NA,NA,NA,NA,NA
"181",NA,NA,"Ames 19294",NA,"Wf9 T","Ames19294:81N4HABXX:7:H2",NA,NA,NA,NA,NA,NA
"182",NA,NA,"Ames 19308",NA,"A634","Ames19308:81N4HABXX:4:G3",NA,NA,NA,NA,NA,NA
"183",NA,NA,"Ames 19309",NA,"A635","Ames19309:81FE7ABXX:4:D3",NA,NA,NA,NA,NA,NA
"184",NA,NA,"Ames 19309",NA,"A635","Ames19309:81FE7ABXX:4:E6",NA,NA,NA,NA,NA,NA
"185",NA,NA,"Ames 19310",NA,"A639","Ames19310:81FE8ABXX:6:B1",NA,NA,NA,NA,NA,NA
"186",NA,NA,"Ames 19311",NA,"A641","Ames19311:81FE8ABXX:6:B3",NA,NA,NA,NA,NA,NA
"187",NA,NA,"Ames 19311",NA,"A641","Ames19311:81FENABXX:3:D5",NA,NA,NA,NA,NA,NA
"188",NA,NA,"Ames 19311",NA,"A641","Ames19311:C07W2ACXX:1:G10",NA,NA,NA,NA,NA,NA
"189",NA,NA,"Ames 19311",NA,"A641","Ames19311:C07W2ACXX:2:G10",NA,NA,NA,NA,NA,NA
"190",NA,NA,"Ames 19311",NA,"A641","Ames19311:D0D0BACXX:1:G10",NA,NA,NA,NA,NA,NA
"191",NA,NA,"Ames 19311",NA,"A641","Ames19311:D0D7RACXX:1:G10",NA,NA,NA,NA,NA,NA
"192",NA,NA,"Ames 19311",NA,"A641","Ames19311:D0D7RACXX:2:G10",NA,NA,NA,NA,NA,NA
"193",NA,NA,"Ames 19313",NA,"C123","Ames19313:81N4HABXX:6:E10",NA,NA,NA,NA,NA,NA
"194",NA,NA,"Ames 19313",NA,"C123","Ames19313:81N4HABXX:7:D7",NA,NA,NA,NA,NA,NA
"195",NA,NA,"Ames 19314",NA,"CI64","Ames19314:81FENABXX:4:G4",NA,NA,NA,NA,NA,NA
"196",NA,NA,"Ames 19316",NA,"CM174","Ames19316:81FE8ABXX:3:H12",NA,NA,NA,NA,NA,NA
"197",NA,NA,"Ames 19318",NA,"H107","Ames19318:81FE7ABXX:4:G1",NA,NA,NA,NA,NA,NA
"198",NA,NA,"Ames 19319",NA,"H95","Ames19319:81FE7ABXX:6:F3",NA,NA,NA,NA,NA,NA
"199",NA,NA,"Ames 19319",NA,"H95","Ames19319:81N4HABXX:7:G6",NA,NA,NA,NA,NA,NA
"200",NA,NA,"Ames 19321",NA,"N28","Ames19321:81FE7ABXX:4:G9",NA,NA,NA,NA,NA,NA
"201",NA,NA,"Ames 19323",NA,"Oh7B","Ames19323:81N4HABXX:1:C7",NA,NA,NA,NA,NA,NA
"202",NA,NA,"Ames 19324",NA,"Pa871","Ames19324:81FE7ABXX:2:H6",NA,NA,NA,NA,NA,NA
"203",NA,NA,"Ames 19326",NA,"R168","Ames19326:81N4HABXX:5:B12",NA,NA,NA,NA,NA,NA
"204",NA,NA,"Ames 19326",NA,"R168","Ames19326:81N4HABXX:6:H3",NA,NA,NA,NA,NA,NA
"205",NA,NA,"Ames 19327",NA,"Tx303","Ames19327:81N4HABXX:3:A4",NA,NA,NA,NA,NA,NA
"206",NA,NA,"Ames 19327",NA,"Tx303","Ames19327:D0D0BACXX:3:E10",NA,NA,NA,NA,NA,NA
"207",NA,NA,"Ames 19327",NA,"Tx303","Ames19327:D0D0BACXX:4:B9",NA,NA,NA,NA,NA,NA
"208",NA,NA,"Ames 19328",NA,"Va22","Ames19328:81FE7ABXX:5:E9",NA,NA,NA,NA,NA,NA
"209",NA,NA,"Ames 19328",NA,"Va22","Ames19328:81FENABXX:1:D2",NA,NA,NA,NA,NA,NA
"210",NA,NA,"Ames 19330",NA,"W182B","Ames19330:81FENABXX:2:G8",NA,NA,NA,NA,NA,NA
"211",NA,NA,"Ames 20116",NA,"Mo23W","Ames20116:81FE8ABXX:3:G7",NA,NA,NA,NA,NA,NA
"212",NA,NA,"Ames 20118",NA,"Mo25W","Ames20118:81N4HABXX:3:A5",NA,NA,NA,NA,NA,NA
"213",NA,NA,"Ames 20119",NA,"Mo40","Ames20119:81FENABXX:4:C11",NA,NA,NA,NA,NA,NA
"214",NA,NA,"Ames 20120",NA,"Mo42","Ames20120:81FE7ABXX:2:D6",NA,NA,NA,NA,NA,NA
"215",NA,NA,"Ames 20136",NA,"H21W","Ames20136:81FE7ABXX:1:B2",NA,NA,NA,NA,NA,NA
"216",NA,NA,"Ames 20137",NA,"H25W","Ames20137:81FE7ABXX:1:B12",NA,NA,NA,NA,NA,NA
"217",NA,NA,"Ames 20137",NA,"H25W","Ames20137:D0D0BACXX:3:G11",NA,NA,NA,NA,NA,NA
"218",NA,NA,"Ames 20140",NA,"Mt42","Ames20140:81FE8ABXX:4:H7",NA,NA,NA,NA,NA,NA
"219",NA,NA,"Ames 20140",NA,"Mt42","Ames20140:81FENABXX:6:E12",NA,NA,NA,NA,NA,NA
"220",NA,NA,"Ames 20140",NA,"Mt42","Ames20140:D0D0BACXX:3:A1",NA,NA,NA,NA,NA,NA
"221",NA,NA,"Ames 20190",NA,"CM37","Ames20190:81FE8ABXX:3:D12",NA,NA,NA,NA,NA,NA
"222",NA,NA,"Ames 20190",NA,"CM37","Ames20190:81FENABXX:6:G7",NA,NA,NA,NA,NA,NA
"223",NA,NA,"Ames 20190",NA,"CM37","Ames20190:D0D0BACXX:4:B3",NA,NA,NA,NA,NA,NA
"224",NA,NA,"Ames 20190",NA,"CM37","Ames20190:D0D0BACXX:4:C3",NA,NA,NA,NA,NA,NA
"225",NA,NA,"Ames 20191",NA,"CO159","Ames20191:81FENABXX:6:C11",NA,NA,NA,NA,NA,NA
"226",NA,NA,"Ames 20191",NA,"CO159","Ames20191:C07W2ACXX:1:B6",NA,NA,NA,NA,NA,NA
"227",NA,NA,"Ames 20191",NA,"CO159","Ames20191:C07W2ACXX:2:B6",NA,NA,NA,NA,NA,NA
