,name,key,datasetKey,publishingOrgKey,publishingCountry,protocol,basisOfRecord,taxonKey,speciesKey,scientificName,taxonRank,dateIdentified,decimalLongitude,decimalLatitude,year,month,day,eventDate,issues,modified,lastInterpreted,references,geodeticDatum,countryCode,country,verbatimEventDate,collectionCode,gbifID,institutionCode,datasetName,catalogNumber,recordedBy,eventTime,identifier,identificationID,locality,coordinateAccuracy,elevation,elevationAccuracy,depth,depthAccuracy,stateProvince,county,identifiedBy,continent,habitat,samplingProtocol,municipality,occurrenceRemarks
954,Zea mays,995852638,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,150.97,-33.8,1998,5,1,1998-04-30T22:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T12:01:55.687+0000,NA,WGS84,AU,Australia,NA,NSW,995852638,NSW,NA,NSW 426744,"Stanberg, L. C.",NA,a2058b52-df90-485d-a804-0a8ad90f56f7,NA,"CULTIVATED, Merrylands, Sydney. Seed from South Africa.",NA,NA,NA,NA,NA,New South Wales,NA,NA,NA,NA,NA,NA,"Variety commonly cultivated for food in the black townships in the Eastern Cape, South Africa. [* Specimen is in BULKY COLLECTION - see Cabinet #1]."
430,Zea mays,993618393,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,149.1167,-35.2833,2005,10,1,2005-09-30T22:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-08-19T09:18:20.826+0000,NA,WGS84,AU,Australia,NA,CANB,993618393,CANB,NA,CANB 680725.1,"Ward, J.M.",NA,e2e9ee64-f2a5-4636-842b-4344ca114ba4,NA,"CULTIVATED: Botany and Zoology, Australian National University, Canberra.",NA,NA,NA,NA,NA,Australian Capital Territory,NA,NA,NA,NA,NA,NA,"Seed source: J. H. Williams & Sons, Murwillumbah, NSW.  Project code: ZM01.  Reference: Ward, J., R. Peakall, S. R. Gilmore & J. Robertson, 2005, A molecular identification system for grasses: a novel technology for forensic botany, {Forensic Science International} 152(2-3): 121-131."
272,Zea mays,916356135,0645ccdb-e001-4ab0-9729-51f1755e007e,25fe2ec4-4405-4b37-9386-8cc80e337abb,AU,DWC_ARCHIVE,HUMAN_OBSERVATION,5290052,5290052,Zea mays L.,SPECIES,NA,151.23372,-32.62732003,2008,4,30,2008-04-29T22:00:00.000+0000,"COORDINATE_ROUNDED,COORDINATE_REPROJECTED,COUNTRY_DERIVED_FROM_COORDINATES",NA,2014-06-18T16:01:00.770+0000,NA,WGS84,AU,Australia,NA,OEH Atlas of NSW Wildlife,916356135,OEH Atlas of NSW Wildlife,NA,SJJSI0042775,NA,NA,e01895b7-065f-44be-9674-aa2a8132aff0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flora record
234,Zea mays,994404678,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,47e00926-5a2f-44e8-8509-139a689c8b4d,AU,DWC_ARCHIVE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,133.77306,-23.75944002,2009,1,24,2009-01-23T23:00:00.000+0000,"COORDINATE_ROUNDED,COORDINATE_REPROJECTED",NA,2014-08-19T10:16:55.371+0000,NA,WGS84,AU,Australia,NA,DNA,994404678,DNA,NA,DNA D0202571,"Latz, P.",NA,9f38d69b-3271-4678-a389-1a9277d4520d,NA,"13km WSW of Alice Springs,Portion 1969",NA,NA,NA,NA,NA,The Northern Territory,NA,NA,NA,NA,NA,NA,"Erect annual to 1.5m. Single plant under ghost gum, alluvial soil. Seed spread by bird from feeding station"
2769,Zea mays,900139058,882d105b-fa99-4c3b-a736-b43674ce91f3,7a070ba0-bafb-11d9-8e53-b8a03c50a862,AT,BIOCASE,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,13,47.8,1875,9,7,1875-09-06T23:00:00.000+0000,"GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES",NA,2014-06-05T20:21:04.801+0000,NA,WGS84,AT,Austria,NA,BiodiversitÃ_tsdatenbank des Landes Salzburg,900139058,BiodiversitÃ_tsdatenbank des Landes Salzburg,NA,647854,NA,NA,NA,NA,NA,NA,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2760,Zea mays,99629640,8642bfd0-f762-11e1-a439-00145eb45e9a,fccc6740-bbb1-11d9-839f-b8a03c50a862,AT,BIOCASE,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,9.57942,47.22523,1889,8,5,1889-08-04T23:00:00.000+0000,"COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES",NA,2014-06-04T23:23:09.471+0000,NA,WGS84,AT,Austria,NA,inatura - Erlebnis Naturschau Dornbirn                                                                                                                                                                                                                    ,99629640,inatura                                                                                                                                                                                                                                                   ,NA,122909,Ender A.,NA,NA,NA,Tisis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2755,Zea mays,99629638,8642bfd0-f762-11e1-a439-00145eb45e9a,fccc6740-bbb1-11d9-839f-b8a03c50a862,AT,BIOCASE,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,9.67902,47.44811,1891,8,1,1891-07-31T23:00:00.000+0000,"COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES",NA,2014-06-04T23:23:11.389+0000,NA,WGS84,AT,Austria,NA,inatura - Erlebnis Naturschau Dornbirn                                                                                                                                                                                                                    ,99629638,inatura                                                                                                                                                                                                                                                   ,NA,120344,Milz Gebhard,NA,NA,NA,Lauterach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2627,Zea mays,900139063,882d105b-fa99-4c3b-a736-b43674ce91f3,7a070ba0-bafb-11d9-8e53-b8a03c50a862,AT,BIOCASE,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,13,47.8,1937,8,1,1937-07-31T23:00:00.000+0000,"GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES",NA,2014-06-05T20:21:04.507+0000,NA,WGS84,AT,Austria,NA,BiodiversitÃ_tsdatenbank des Landes Salzburg,900139063,BiodiversitÃ_tsdatenbank des Landes Salzburg,NA,281237,NA,NA,NA,NA,NA,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1733,Zea mays,462419232,82746a3e-f762-11e1-a439-00145eb45e9a,b0a2cd60-4059-11de-9f59-b8a03c50a862,AT,BIOCASE,UNKNOWN,5290052,5290052,Zea mays L.,SPECIES,NA,13.375,48.325,1980,8,21,1980-08-20T22:00:00.000+0000,GEODETIC_DATUM_ASSUMED_WGS84,NA,2014-06-05T08:43:08.770+0000,NA,WGS84,AT,Austria,NA,UniversitÃ_t Salzburg,462419232,SZU,NA,15618P,Pilsl,NA,NA,NA,"Innviertel, feuchtes Maisfeld 1 km N von Reichersberg",NA,350,NA,NA,NA,NA,NA,Pilsl,NA,NA,NA,NA,NA
1221,Zea mays,899784214,7ba35058-f762-11e1-a439-00145eb45e9a,0674aea0-a7e1-11d8-9534-b8a03c50a862,DE,BIOCASE,PRESERVED_SPECIMEN,5290052,5290052,Zea mays L.,SPECIES,NA,15.43333,48.86666,1994,9,21,1994-09-20T22:00:00.000+0000,"COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84",NA,2014-08-16T01:03:43.643+0000,NA,WGS84,AT,Austria,NA,BSMmicrofexscoll,899784214,M,NA,M-0040183 / 486440 / 133020,"Schratt-Ehrendorfer, L.",NA,NA,NA,"AUSTRIA. NiederÃ¶sterreich, Waldviertel, NW of Raabs an der Thaya, farmland between ObergrÃ_nbach and Speisendorf. 48Â°52â€™ N, 15Â°26â€™ E. Alt. c. 450 m. On Zea mays L. (cultivated).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
