GBS name (Sample:Flowcell:Lane:Well),Additional file 1.xlsx (Romay et al. 2013),Inbred name,Source,Accession,Seed lot,Notes
Ab610:81FENABXX:6:D1,Ab610,Ab610,Krakowksy,Ab610,,
Ab616:81FENABXX:4:E11,not included,Ab616,Krakowksy,Ab616,,
AH83:81FE8ABXX:4:G8,AH83,AH83,Edwards,AH83,,
Ames_30480:81N4HABXX:1:C2,T179,T179,NCRPIS,Ames 30480 , ,
Ames10244:81FE8ABXX:7:H5,Ab26,Ab26,NCRPIS,Ames 10244,90ncab01 SD,
Ames10246:D0D0BACXX:3:D11,Ab608A,Ab608A,NCRPIS,Ames 10246,11991,
Ames10247:81N4HABXX:3:C4,GA152,GA152,NCRPIS,Ames 10247,90ncab01 SD,
Ames10248:81FE7ABXX:7:E5,GA209,GA209,NCRPIS,Ames 10248,09ncai01 SD,
Ames10249:81N4HABXX:3:A11,GA212,GA212,NCRPIS,Ames 10249,96ncab01 SD,
Ames10250:81N4HABXX:2:D8,GA215,GA215,NCRPIS,Ames 10250,06ncei01 SD,
Ames10251:81N4HABXX:2:D5,GA219,GA219,NCRPIS,Ames 10251,90ncab01 SD,
Ames10252:81N4HABXX:3:H10,GA222,GA222,NCRPIS,Ames 10252,90ncab01 SD,
Ames10253:81FE7ABXX:7:D2,GE19,GE19,NCRPIS,Ames 10253,90ncab01 SD,
Ames10254:81N4HABXX:3:E9,GE54,GE54,NCRPIS,Ames 10254,07ncei01 SD,
Ames10255:81N4HABXX:4:A3,GE72,GE72,NCRPIS,Ames 10255,90ncab01 SD,
Ames10256:81N4HABXX:2:G10,GE129,GE129,NCRPIS,Ames 10256,91ncai01 SD,
Ames10256:D0D0BACXX:4:A5,GE129,GE129,NCRPIS,Ames 10256,12833,
Ames10257:81N4HABXX:3:D2,GE281,GE281,NCRPIS,Ames 10257,90ncab01 SD,
Ames10258:81N4HABXX:3:C2,GE293,GE293,NCRPIS,Ames 10258,90ncab01 SD,
Ames10259:81N4HABXX:3:F12,GE311,GE311,NCRPIS,Ames 10259,07ncei01 SD,
Ames10260:81FE7ABXX:2:H4,GE317,GE317,NCRPIS,Ames 10260,96ncab01 SD,
Ames10261:81N4HABXX:2:H9,GE335,GE335,NCRPIS,Ames 10261,90ncab01 SD,
Ames10262:81N4HABXX:2:C8,GT150,GT150,NCRPIS,Ames 10262,90ncab01 SD,
Ames10263:81FE7ABXX:1:A9,L90,L 90,NCRPIS,Ames 10263,90ncab01 SD,
Ames10264:81FE7ABXX:3:C6,L605,L 605,NCRPIS,Ames 10264,90ncab01 SD,
Ames10265:81FENABXX:5:G6,L678,L 678,NCRPIS,Ames 10265,90ncab01 SD,
Ames10266:D0D0BACXX:4:D3,L690,L 690,NCRPIS,Ames 10266,12872,
Ames10267:81FE7ABXX:6:A9,SC15,SC15,NCRPIS,Ames 10267,90ncab01 SD,
Ames10268:D0D0BACXX:4:G6,SC16,SC16,NCRPIS,Ames 10268,12894,
Ames10269:81N4HABXX:3:G7,SC44,SC44,NCRPIS,Ames 10269,91ncai01 SD,
Ames10271:81FE7ABXX:6:H9,SC84E,SC84E,NCRPIS,Ames 10271,91ncai01 SD,
Ames10272:81N4HABXX:3:F10,SC90,SC90,NCRPIS,Ames 10272,91ncai01 SD,
Ames10273:81FE7ABXX:7:C11,SC102,SC102,NCRPIS,Ames 10273,96ncab01 SD,
Ames10274:81N4HABXX:3:E3,SC144,SC144,NCRPIS,Ames 10274,91ncai01 SD,
Ames10274:D0D0BACXX:4:H6,SC144,SC144,NCRPIS,Ames 10274,12895,
Ames10276:81N4HABXX:3:D3,SC225,SC225,NCRPIS,Ames 10276,08ncai01 SD,
Ames10277:81N4HABXX:2:G9,SC235,SC235,NCRPIS,Ames 10277,96ncab01 SD,
Ames10287:81FE8ABXX:6:F2,ABPl3,ABPl 3,NCRPIS,Ames 10287,90ncai01 SD,
Ames12725:81FENABXX:4:A10,NC7,NC7,NCRPIS,Ames 12725,08ncai01 SD,
Ames12726:81N4HABXX:1:E9,NC13,NC13,NCRPIS,Ames 12726,08ncai01 SD,
Ames12727:81FENABXX:5:E6,NC83,NC83,NCRPIS,Ames 12727,08ncai01 SD,
Ames12728:81N4HABXX:1:A5,NC220,NC220,NCRPIS,Ames 12728,08ncai01 SD,
Ames12729:81N4HABXX:2:H12,NC222,NC222,NCRPIS,Ames 12729,03ncai01 SD,
Ames12729:81N4HABXX:3:B4,NC222,NC222,NCRPIS,Ames 12729,07ncai01 SD,
Ames12730:81N4HABXX:2:C4,NC224,NC224,NCRPIS,Ames 12730,91ncai01 SD,
Ames12731:81FE8ABXX:7:A5,NC230,NC230,NCRPIS,Ames 12731,04ncai02 SD,
Ames12732:81N4HABXX:1:B1,NC232,NC232,NCRPIS,Ames 12732,04ncai02 SD,
Ames12732:81N4HABXX:1:C4,NC232,NC232,NCRPIS,Ames 12732,04ncai01 SD,
Ames12733:81FE8ABXX:7:B8,NC234,NC234,NCRPIS,Ames 12733,08ncai01 SD,
Ames12734:81FE8ABXX:7:C4,NC236,NC236,NCRPIS,Ames 12734,08ncai01 SD,
Ames12734:81FE8ABXX:7:H6,NC236,NC236,NCRPIS,Ames 12734,04ncai02 SD,
Ames12735:81N4HABXX:3:G6,NC238,NC238,NCRPIS,Ames 12735,06ncai01 SD,
Ames12736:81FE8ABXX:1:G8,NC240A,NC240A,NCRPIS,Ames 12736,08ncai01 SD,
Ames12737:81FE8ABXX:7:B2,NC242,NC242,NCRPIS,Ames 12737,08ncai01 SD,
Ames12738:81N4HABXX:1:A4,NC244,NC244,NCRPIS,Ames 12738,08ncai01 SD,
Ames12739:81N4HABXX:2:F1,NC246,NC246,NCRPIS,Ames 12739,08ncai01 SD,
Ames12740:81N4HABXX:2:D1,NC248,NC248,NCRPIS,Ames 12740,91ncai01 SD,
Ames12814:81FE8ABXX:1:C4,89S4083,89S4083,NCRPIS,Ames 12814,09ncai01 SD,
Ames12815:81FE8ABXX:1:C9,89S4098,89S4098,NCRPIS,Ames 12815,91ncai01 SD,
Ames12816:D0D0BACXX:3:H9,89S4107,89S4107,NCRPIS,Ames 12816,11886,
Ames12817:81FE8ABXX:1:D5,89S4110,89S4110,NCRPIS,Ames 12817,91ncai01 SD,
Ames12817:D0D0BACXX:3:D8,89S4110,89S4110,NCRPIS,Ames 12817,11865,
Ames12818:81N4HABXX:6:H9,89S4117,89S4117,NCRPIS,Ames 12818,91ncai01 SD,
Ames12818:D0D0BACXX:3:C4,89S4117,89S4117,NCRPIS,Ames 12818,11809,
Ames12819:81FE8ABXX:1:A2,89S4125,89S4125,NCRPIS,Ames 12819,91ncai01 SD,
Ames12820:81N4HABXX:6:F1,89S4127,89S4127,NCRPIS,Ames 12820,00ncai01 SD,
Ames12821:81FE8ABXX:1:F3,89S4145,89S4145,NCRPIS,Ames 12821,91ncai01 SD,
Ames12822:81N4HABXX:6:G5,89S4154,89S4154,NCRPIS,Ames 12822,09ncai01 SD,
Ames12823:81N4HABXX:6:D3,89S4157,89S4157,NCRPIS,Ames 12823,91ncai01 SD,
Ames12824:81FE8ABXX:1:H5,89S4190,89S4190,NCRPIS,Ames 12824,91ncai01 SD,
Ames14111:81N4HABXX:2:C2,T202,T202,NCRPIS,Ames 14111,91ncai01 SD,
Ames14111:D0D0BACXX:3:A3,T202,T202,NCRPIS,Ames 14111,11716,
Ames14112:81FE7ABXX:4:F3,Va3A,Va3A,NCRPIS,Ames 14112,99ncai01 SD,
Ames14113:81FE8ABXX:7:G1,Va12C,Va12C,NCRPIS,Ames 14113,08ncai01 SD,
Ames14113:D0D0BACXX:4:A12,Va12C,Va12C,NCRPIS,Ames 14113,12720,
Ames14114:81FE8ABXX:7:D3,Va14A,Va14A,NCRPIS,Ames 14114,08ncai01 SD,
Ames14115:81FENABXX:2:H5,Va35C,Va35C,NCRPIS,Ames 14115,94ncai01 SD,
Ames14116:81FENABXX:1:C2,Va36A,Va36A,NCRPIS,Ames 14116,91ncai01 SD,
Ames14211:81FE7ABXX:5:C11,EAST028WHITECOB,EAST 028 WHITE COB,NCRPIS,Ames 14211,84ncai04 SD,
Ames14408:81FE8ABXX:1:H10,KS2,KS2,NCRPIS,Ames 14408,91ncei01 SD,
Ames15929:81FENABXX:1:G7,H49,H49,NCRPIS,Ames 15929,03ncai01 SD,
Ames18999:81FE8ABXX:7:E5,Ab28A,Ab28A,NCRPIS,Ames 18999,04ncai02 SD,
Ames18999:81N4HABXX:1:B10,Ab28A,Ab28A,NCRPIS,Ames 18999,07ncai01 SD,
Ames19000:81FE7ABXX:3:C7,VaW6,VaW6,NCRPIS,Ames 19000,07ncai01 SD,
Ames19000:81FE7ABXX:4:B2,VaW6,VaW6,NCRPIS,Ames 19000,04ncai02 SD,
Ames19000:D0D0BACXX:3:G3,VaW6,VaW6,NCRPIS,Ames 19000,11336,
Ames19000:D0D0BACXX:4:F3,VaW6,VaW6,NCRPIS,Ames 19000,10775,
Ames19001:81FENABXX:3:H12,Va16,Va16,NCRPIS,Ames 19001,08ncai01 SD,
Ames19002:81N4HABXX:2:A3,Va17,Va17,NCRPIS,Ames 19002,03ncai01 SD,
Ames19002:81N4HABXX:4:G2,Va17,Va17,NCRPIS,Ames 19002,03ncai02 SD,
Ames19003:81N4HABXX:3:A6,Va18A,Va18A,NCRPIS,Ames 19003,08ncai01 SD,
Ames19004:81N4HABXX:3:D12,Va21A,Va21A,NCRPIS,Ames 19004,08ncai01 SD,
Ames19005:81FE8ABXX:2:B11,Va21C,Va21C,NCRPIS,Ames 19005,92ncao01 SD,
Ames19006:81FE7ABXX:4:B7,Va22B,Va22B,NCRPIS,Ames 19006,08ncai01 SD,
Ames19007:81FE7ABXX:3:E6,Va23,Va23,NCRPIS,Ames 19007,08ncai01 SD,
Ames19008:81FE7ABXX:3:H10,Va24,Va24,NCRPIS,Ames 19008,98ncab01 SD,
Ames19008:D0D0BACXX:3:D3,Va24,Va24,NCRPIS,Ames 19008,11327,
Ames19009:81N4HABXX:6:E12,Va30,Va30,NCRPIS,Ames 19009,08ncai01 SD,
Ames19010:81FENABXX:7:A3,Va37,Va37,NCRPIS,Ames 19010,92ncai01 SD,
Ames19011:81FE7ABXX:4:F10,Va38,Va38,NCRPIS,Ames 19011,92ncai01 SD,
Ames19012:81FENABXX:1:B7,Va39,Va39,NCRPIS,Ames 19012,08ncai01 SD,
Ames19013:81FENABXX:1:B12,Va46,Va46,NCRPIS,Ames 19013,08ncai01 SD,
Ames19014:81N4HABXX:7:E5,Va52,Va52,NCRPIS,Ames 19014,92ncai01 SD,
Ames19015:81FE7ABXX:5:F8,Va58,Va58,NCRPIS,Ames 19015,98ncai04 SD,
Ames19016:81FE7ABXX:3:F9,Va59,Va59,NCRPIS,Ames 19016,04ncai02 SD,
Ames19016:81FE7ABXX:4:B11,Va59,Va59,NCRPIS,Ames 19016,04ncai01 SD,
Ames19016:D0D0BACXX:3:C3,Va59,Va59,NCRPIS,Ames 19016,11326,
Ames19017:81N4HABXX:7:H9,Va60,Va60,NCRPIS,Ames 19017,09ncai01 SD,
Ames19019:81FENABXX:1:E12,Va91,Va91,NCRPIS,Ames 19019,08ncai01 SD,
Ames19282:D0D0BACXX:3:B11,B37T,B37 T,NCRPIS,Ames 19282,10928,
Ames19282:D0D0BACXX:3:F11,B37T,B37 T,NCRPIS,Ames 19282,11154,
Ames19283:81FE7ABXX:2:B1,B37TRf,B37 TRf,NCRPIS,Ames 19283,94ncai01 SD,
Ames19284:81FE8ABXX:7:D9,C103,C103,NCRPIS,Ames 19284,01ncab01 SD,
Ames19284:81N4HABXX:1:G6,C103,C103,NCRPIS,Ames 19284,07ncai01 SD,
Ames19285:81N4HABXX:1:C8,C103T,C103 T,NCRPIS,Ames 19285,91ncao01 SD,
Ames19286:81FENABXX:2:B1,Mo17T,Mo17T,NCRPIS,Ames 19286,94ncai03 SD,
Ames19287:81FE7ABXX:5:E3,Mo17TRf,Mo17TRf,NCRPIS,Ames 19287,94ncai01 SD,
Ames19288:81FE8ABXX:5:B2,Oh43,Oh43,NCRPIS,Ames 19288,01ncab01 SD,
Ames19288:D0D0BACXX:3:D9,Oh43,Oh43,NCRPIS,Ames 19288,11878,
Ames19288:D0D0BACXX:3:G2,Oh43,Oh43,NCRPIS,Ames 19288,11722,
Ames19289:81N4HABXX:6:F3,Oh43T,Oh43 T,NCRPIS,Ames 19289,91ncao01 SD,
Ames19290:81N4HABXX:6:G1,Oh43TRf,Oh43 TRf,NCRPIS,Ames 19290,91ncao01 SD,
Ames19292:81FE8ABXX:5:A3,W64AT,W64A T,NCRPIS,Ames 19292,91ncao01 SD,
Ames19293:81FE7ABXX:5:A9,Wf9,Wf9,NCRPIS,Ames 19293,07ncai01 SD,
Ames19294:81N4HABXX:7:H2,Wf9T,Wf9 T,NCRPIS,Ames 19294,91ncao01 SD,
Ames19308:81N4HABXX:4:G3,A634,A634,NCRPIS,Ames 19308,01ncab01 SD,
Ames19309:81FE7ABXX:4:D3,A635,A635,NCRPIS,Ames 19309,01ncab01 SD,
Ames19309:81FE7ABXX:4:E6,A635,A635,NCRPIS,Ames 19309,01ncai04 SD,
Ames19310:81FE8ABXX:6:B1,A639,A639,NCRPIS,Ames 19310,92ncai01 SD,
Ames19311:81FE8ABXX:6:B3,A641,A641,NCRPIS,Ames 19311,98ncab01 SD,
Ames19311:81FENABXX:3:D5,A641,A641,NCRPIS,Ames 19311,04ncai01 SD,
Ames19311:C07W2ACXX:1:G10,A641,A641,NCRPIS,Ames 19311,98ncab01 SD,
Ames19311:C07W2ACXX:2:G10,A641,A641,NCRPIS,Ames 19311,98ncab01 SD,
Ames19311:D0D0BACXX:1:G10,A641,A641,NCRPIS,Ames 19311,98ncab01 SD,
Ames19311:D0D7RACXX:1:G10,A641,A641,NCRPIS,Ames 19311,98ncab01 SD,
Ames19311:D0D7RACXX:2:G10,A641,A641,NCRPIS,Ames 19311,98ncab01 SD,
Ames19313:81N4HABXX:6:E10,C123,C123,NCRPIS,Ames 19313,04ncai01 SD,
Ames19313:81N4HABXX:7:D7,C123,C123,NCRPIS,Ames 19313,04ncai02 SD,
Ames19314:81FENABXX:4:G4,CI64,CI64,NCRPIS,Ames 19314,01ncab01 SD,
Ames19316:81FE8ABXX:3:H12,CM174,CM174,NCRPIS,Ames 19316,00ncab01 SD,
Ames19318:81FE7ABXX:4:G1,H107,H107,NCRPIS,Ames 19318,01ncab01 SD,
Ames19319:81FE7ABXX:6:F3,H95,H95,NCRPIS,Ames 19319,04ncai02 SD,
Ames19319:81N4HABXX:7:G6,H95,H95,NCRPIS,Ames 19319,04ncai01 SD,
Ames19321:81FE7ABXX:4:G9,N28,N28,NCRPIS,Ames 19321,99ncab01 SD,
Ames19323:81N4HABXX:1:C7,Oh7B,Oh7B,NCRPIS,Ames 19323,94ncai01 SD,
Ames19324:81FE7ABXX:2:H6,Pa871,Pa871,NCRPIS,Ames 19324,92ncai01 SD,
Ames19326:81N4HABXX:5:B12,R168,R168,NCRPIS,Ames 19326,04ncai02 SD,
Ames19326:81N4HABXX:6:H3,R168,R168,NCRPIS,Ames 19326,04ncai01 SD,
Ames19327:81N4HABXX:3:A4,Tx303,Tx303,NCRPIS,Ames 19327,97ncab01 SD,
Ames19327:D0D0BACXX:3:E10,Tx303,Tx303,NCRPIS,Ames 19327,10743,
Ames19327:D0D0BACXX:4:B9,Tx303,Tx303,NCRPIS,Ames 19327,12539,
Ames19328:81FE7ABXX:5:E9,Va22,Va22,NCRPIS,Ames 19328,06ncab01 SD,
Ames19328:81FENABXX:1:D2,Va22,Va22,NCRPIS,Ames 19328,06ncai01 SD,
Ames19330:81FENABXX:2:G8,W182B,W182B,NCRPIS,Ames 19330,00ncab01 SD,
Ames20116:81FE8ABXX:3:G7,Mo23W,Mo23W,NCRPIS,Ames 20116,02ncai01 SD,
Ames20118:81N4HABXX:3:A5,Mo25W,Mo25W,NCRPIS,Ames 20118,01ncai01 SD,
Ames20119:81FENABXX:4:C11,Mo40,Mo40,NCRPIS,Ames 20119,01ncai01 SD,
Ames20120:81FE7ABXX:2:D6,Mo42,Mo42,NCRPIS,Ames 20120,03ncai01 SD,
Ames20136:81FE7ABXX:1:B2,H21W,H21W,NCRPIS,Ames 20136,08ncai01 SD,
Ames20137:81FE7ABXX:1:B12,H25W,H25W,NCRPIS,Ames 20137,06ncai01 SD,
Ames20137:D0D0BACXX:3:G11,H25W,H25W,NCRPIS,Ames 20137,12013,
Ames20140:81FE8ABXX:4:H7,Mt42,Mt42,NCRPIS,Ames 20140,98ncai02 SD,
Ames20140:81FENABXX:6:E12,Mt42,Mt42,NCRPIS,Ames 20140,98ncai03 SD,
Ames20140:D0D0BACXX:3:A1,Mt42,Mt42,NCRPIS,Ames 20140,10002,
Ames20190:81FE8ABXX:3:D12,not included,CM37,NCRPIS,Ames 20190,04ncai02 SD,
Ames20190:81FENABXX:6:G7,CM37,CM37,NCRPIS,Ames 20190,04ncai01 SD,
Ames20190:D0D0BACXX:4:B3,not included,CM37,NCRPIS,Ames 20190,10025,
Ames20190:D0D0BACXX:4:C3,CM37,CM37,NCRPIS,Ames 20190,10074,
Ames20191:81FENABXX:6:C11,CO159,CO159,NCRPIS,Ames 20191,98ncai04 SD,
Ames20191:C07W2ACXX:1:B6,CO159,CO159,NCRPIS,Ames 20191,98ncai04 SD,
Ames20191:C07W2ACXX:2:B6,CO159,CO159,NCRPIS,Ames 20191,98ncai04 SD,
Ames20191:D0D0BACXX:1:B6,CO159,CO159,NCRPIS,Ames 20191,98ncai04 SD,
Ames20191:D0D7RACXX:1:B6,CO159,CO159,NCRPIS,Ames 20191,98ncai04 SD,
Ames20191:D0D7RACXX:2:B6,CO159,CO159,NCRPIS,Ames 20191,98ncai04 SD,
Ames21095:81FE7ABXX:5:D4,R12,R12,NCRPIS,Ames 21095,08ncai01 SD,
Ames21096:81FE8ABXX:6:B9,R35,R35,NCRPIS,Ames 21096,01ncai01 SD,
Ames21512:81FENABXX:5:F7,CI31A,CI31A,NCRPIS,Ames 21512,03ncai01 SD,
Ames22011:81FENABXX:5:D3,C5Ark1956,C5 Ark 1956,NCRPIS,Ames 22011,95ncai01 SD,
Ames22012:81FE7ABXX:1:H12,C7,C7,NCRPIS,Ames 22012,95ncai01 SD,
Ames22013:81FENABXX:5:C12,C7e,C7e,NCRPIS,Ames 22013,95ncai01 SD,
Ames22014:81FE7ABXX:1:F9,C8pseudo,C8 pseudo,NCRPIS,Ames 22014,95ncai01 SD,
Ames22015:81FE7ABXX:4:B8,C12-1,C12-1,NCRPIS,Ames 22015,95ncai01 SD,
Ames22015:D0D0BACXX:3:F1,C12-1,C12-1,NCRPIS,Ames 22015,10040,
Ames22016:81FE8ABXX:1:G1,C15,C15,NCRPIS,Ames 22016,95ncai01 SD,
Ames22017:81FE8ABXX:1:C10,C18,C18,NCRPIS,Ames 22017,95ncai01 SD,
Ames22018:81N4HABXX:6:F8,C22,C22,NCRPIS,Ames 22018,95ncai01 SD,
Ames22019:81N4HABXX:5:H11,C27,C27,NCRPIS,Ames 22019,95ncai01 SD,
Ames22020:81N4HABXX:6:G3,C31,C31,NCRPIS,Ames 22020,95ncai01 SD,
Ames22021:81N4HABXX:5:G10,C38,C38,NCRPIS,Ames 22021,95ncai01 SD,
Ames22022:81FE8ABXX:1:H8,C40,C40,NCRPIS,Ames 22022,95ncai01 SD,
Ames22023:81FE8ABXX:1:G4,C68,C68,NCRPIS,Ames 22023,95ncai01 SD,
Ames22024:81N4HABXX:5:F10,C90,C90,NCRPIS,Ames 22024,95ncai01 SD,
Ames22025:81FENABXX:1:C8,IaCG4189,Ia CG4189,NCRPIS,Ames 22025,95ncai01 SD,
Ames22026:81FE7ABXX:2:G5,IaEv191,Ia Ev191,NCRPIS,Ames 22026,95ncai01 SD,
Ames22027:81FE7ABXX:1:B7,IaEv3004,Ia Ev3004,NCRPIS,Ames 22027,04ncai01 SD,
Ames22028:81FE7ABXX:4:C9,Ia2003,Ia 2003,NCRPIS,Ames 22028,95ncai01 SD,
Ames22029:81FE7ABXX:5:B8,Ia2076,Ia 2076,NCRPIS,Ames 22029,95ncai01 SD,
Ames22030:81N4HABXX:6:H11,Ia453,Ia453,NCRPIS,Ames 22030,95ncai01 SD,
Ames22031:81N4HABXX:7:D10,Ia5145,Ia 5145,NCRPIS,Ames 22031,95ncai01 SD,
Ames22032:81FE7ABXX:3:G8,IP39,IP 39,NCRPIS,Ames 22032,95ncai01 SD,
Ames22033:81FE7ABXX:7:G11,Ill101Q,Ill 101Q,NCRPIS,Ames 22033,04ncai01 SD,
Ames22034:81FENABXX:3:H4,M23,M 23,NCRPIS,Ames 22034,04ncai01 SD,
Ames22035:81FE8ABXX:4:C12,M45,M 45,NCRPIS,Ames 22035,04ncai01 SD,
Ames22036:81FENABXX:7:B7,Ma32,Ma32,NCRPIS,Ames 22036,95ncai01 SD,
Ames22037:81FE8ABXX:5:F5,Me1,Me 1,NCRPIS,Ames 22037,01ncai01 SD,
Ames22038:81FE8ABXX:5:F10,Me100,Me 100,NCRPIS,Ames 22038,95ncai01 SD,
Ames22039:81FE8ABXX:6:A8,Me121Wa,Me 121 Wa,NCRPIS,Ames 22039,04ncai01 SD,
Ames22040:81N4HABXX:6:D11,Me123,Me 123,NCRPIS,Ames 22040,95ncai01 SD,
Ames22041:81FENABXX:2:E8,Me135,Me 135,NCRPIS,Ames 22041,95ncai01 SD,
Ames22042:81FENABXX:3:E11,Me244Wa,Me 244 Wa,NCRPIS,Ames 22042,95ncai01 SD,
Ames22043:81FE8ABXX:6:F12,Me244Wb,Me 244 Wb,NCRPIS,Ames 22043,95ncai01 SD,
Ames22044:81FE7ABXX:4:E8,NJ112,NJ 112,NCRPIS,Ames 22044,95ncai01 SD,
Ames22045:81FE7ABXX:6:B2,NJ116Wa,NJ 116 Wa,NCRPIS,Ames 22045,95ncai01 SD,
Ames22046:81FE7ABXX:4:B10,NJ116Wb,NJ 116 Wb,NCRPIS,Ames 22046,95ncai01 SD,
Ames22047:81N4HABXX:7:H4,NJ159,NJ 159,NCRPIS,Ames 22047,95ncai01 SD,
Ames22048:81FENABXX:3:A3,P39M96,P39M96,NCRPIS,Ames 22048,95ncai01 SD,
Ames22049:81FE7ABXX:4:F12,P51,P51,NCRPIS,Ames 22049,04ncai01 SD,
Ames22050:81FE7ABXX:6:H2,P51wx,P51wx,NCRPIS,Ames 22050,08ncai01 SD,
Ames22051:81N4HABXX:2:G7,W1736,W 1736,NCRPIS,Ames 22051,95ncai01 SD,
Ames22052:81FE8ABXX:4:E12,W3607,W 3607,NCRPIS,Ames 22052,95ncai01 SD,
Ames22053:81FENABXX:3:F4,W3647,W 3647,NCRPIS,Ames 22053,05ncai01 SD,
Ames22054:81FENABXX:7:E6,W3722,W 3722,NCRPIS,Ames 22054,95ncai01 SD,
